"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HOUSECOST","NOMINAL","IDX2015","A","1970",11.148423023667,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1971",12.0481980123062,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1972",12.9132196955727,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1973",14.4450564746968,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1974",15.766007455703,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1975",16.7498940893257,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1976",17.7845052296103,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1977",19.7169800673951,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1978",22.3512027579067,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1979",25.3176216752795,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1980",27.3354802822174,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1981",28.8130197249835,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1982",29.6768633269619,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1983",30.7875193866484,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1984",32.2243681269275,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1985",34.1455029328717,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1986",36.7910656552239,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1987",39.6841078959807,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1988",42.2069314501755,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1989",44.6170217466604,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1990",45.7723708730129,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1991",46.1936063138452,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1992",47.3516985738162,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1993",48.4959766062876,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1994",50.1249035837469,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1995",51.4245916162144,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1996",52.9407024511765,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1997",54.4487549911388,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1998",57.081515418573,
"USA","HOUSECOST","NOMINAL","IDX2015","A","1999",60.5742111484856,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2000",64.6436506358839,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2001",69.119458483272,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2002",73.9947275706501,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2003",79.6735238905082,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2004",87.1953676278201,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2005",96.3173587175921,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2006",101.98694557245,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2007",101.99500386245,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2008",93.7225874001569,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2009",88.1727238152957,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2010",85.5491728728613,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2011",81.959777590451,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2012",84.3542426878911,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2013",90.3530684827412,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2014",94.9428436526264,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2016",105.98616274735,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2017",113.021055172174,
